question_id,question_text,topic,average_score,correct_rate,score_variance,difficulty_label
2618,Identify the probability distribution in Discrete Mathematics with example scenario 2617.,Discrete Mathematics,5.84,0.637,1.092,Medium
2619,Illustrate the probability distribution in Statistics with example scenario 2618.,Statistics,1.88,0.244,1.321,Hard
2620,Determine the fundamental theorem in Linear Algebra with example scenario 2619.,Linear Algebra,5.21,0.796,0.893,Easy
2621,Compute the key assumption in Discrete Mathematics with example scenario 2620.,Discrete Mathematics,2.85,0.419,0.518,Medium
2622,Compare the space complexity in Networks with example scenario 2621.,Networks,2.05,0.282,2.446,Hard
2623,Illustrate the main application in Logic with example scenario 2622.,Logic,5.83,0.789,1.216,Easy
2624,Explain the optimization technique in Microeconomics with example scenario 2623.,Microeconomics,3.77,0.403,0.564,Medium
2625,Explain the probability distribution in Calculus with example scenario 2624.,Calculus,3.57,0.373,1.571,Hard
2626,Explain the optimization technique in Electromagnetism with example scenario 2625.,Electromagnetism,7.4,0.859,1.274,Easy
2627,Compare the probability distribution in Electromagnetism with example scenario 2626.,Electromagnetism,3.83,0.62,0.608,Medium
2628,Derive the probability distribution in Chemistry with example scenario 2627.,Chemistry,1.91,0.233,2.276,Hard
2629,Analyze the time complexity in Logic with example scenario 2628.,Logic,7.16,0.771,0.92,Easy
2630,Compare the key assumption in Algebra with example scenario 2629.,Algebra,3.88,0.534,1.3,Medium
2631,Prove the primary formula in Biology with example scenario 2630.,Biology,1.15,0.144,2.103,Hard
2632,Analyze the fundamental theorem in Logic with example scenario 2631.,Logic,6.67,0.838,2.198,Easy
2633,Determine the main application in Thermodynamics with example scenario 2632.,Thermodynamics,5.1,0.64,1.015,Medium
2634,Illustrate the data normalization in Linear Algebra with example scenario 2633.,Linear Algebra,2.97,0.357,0.942,Hard
2635,Explain the probability distribution in Microeconomics with example scenario 2634.,Microeconomics,7.41,0.804,0.588,Easy
2636,Evaluate the classification rule in Linear Algebra with example scenario 2635.,Linear Algebra,4.81,0.737,2.092,Medium
2637,Evaluate the regression model in Databases with example scenario 2636.,Databases,1.71,0.214,2.261,Hard
2638,Derive the data normalization in Machine Learning with example scenario 2637.,Machine Learning,6.79,0.833,0.599,Easy
2639,Analyze the optimization technique in Algebra with example scenario 2638.,Algebra,2.8,0.401,1.861,Medium
2640,Identify the fundamental theorem in Networks with example scenario 2639.,Networks,0.87,0.135,1.322,Hard
2641,Compare the regression model in Operating Systems with example scenario 2640.,Operating Systems,7.79,0.88,0.857,Easy
2642,Illustrate the time complexity in Data Structures with example scenario 2641.,Data Structures,4.17,0.427,1.021,Medium
2643,Compute the regression model in Microeconomics with example scenario 2642.,Microeconomics,3.28,0.347,2.045,Hard
2644,Illustrate the standard method in Physics with example scenario 2643.,Physics,7.28,0.784,2.039,Easy
2645,Identify the logical equivalence in Calculus with example scenario 2644.,Calculus,4.43,0.603,1.025,Medium
2646,Explain the core principle in Machine Learning with example scenario 2645.,Machine Learning,1.09,0.135,1.671,Hard
2647,Prove the probability distribution in Databases with example scenario 2646.,Databases,6.49,0.822,1.227,Easy
2648,Explain the standard method in Macroeconomics with example scenario 2647.,Macroeconomics,5.94,0.618,0.828,Medium
2649,Evaluate the logical equivalence in Machine Learning with example scenario 2648.,Machine Learning,1.38,0.211,1.75,Hard
2650,Analyze the time complexity in Genetics with example scenario 2649.,Genetics,8.72,0.896,1.058,Easy
2651,Evaluate the standard method in Statistics with example scenario 2650.,Statistics,4.52,0.723,1.706,Medium
2652,Identify the core principle in Logic with example scenario 2651.,Logic,1.12,0.117,1.56,Hard
2653,Illustrate the classification rule in Thermodynamics with example scenario 2652.,Thermodynamics,8.24,0.884,0.801,Easy
2654,Compute the standard method in Statistics with example scenario 2653.,Statistics,3.93,0.413,1.13,Medium
2655,Determine the time complexity in Machine Learning with example scenario 2654.,Machine Learning,1.08,0.137,1.697,Hard
2656,Determine the fundamental theorem in Discrete Mathematics with example scenario 2655.,Discrete Mathematics,5.37,0.756,0.566,Easy
2657,Prove the standard method in Physics with example scenario 2656.,Physics,5.2,0.543,2.465,Medium
2658,Derive the time complexity in Linear Algebra with example scenario 2657.,Linear Algebra,1.89,0.285,2.312,Hard
2659,Analyze the probability distribution in Electromagnetism with example scenario 2658.,Electromagnetism,5.64,0.853,2.343,Easy
2660,Identify the primary formula in Genetics with example scenario 2659.,Genetics,5.87,0.658,1.918,Medium
2661,Illustrate the standard method in Linear Algebra with example scenario 2660.,Linear Algebra,1.08,0.158,1.877,Hard
2662,Compute the probability distribution in Physics with example scenario 2661.,Physics,6.16,0.794,2.064,Easy
2663,Analyze the optimization technique in Physics with example scenario 2662.,Physics,5.21,0.667,2.084,Medium
2664,Determine the core principle in Computer Science with example scenario 2663.,Computer Science,2.96,0.343,0.957,Hard
2665,Evaluate the primary formula in Chemistry with example scenario 2664.,Chemistry,5.84,0.805,0.734,Easy
2666,Evaluate the probability distribution in Chemistry with example scenario 2665.,Chemistry,3.37,0.493,1.411,Medium
2667,Compute the time complexity in Biology with example scenario 2666.,Biology,2.33,0.363,1.941,Hard
2668,Determine the optimization technique in Algebra with example scenario 2667.,Algebra,5.66,0.887,2.345,Easy
2669,Evaluate the probability distribution in Genetics with example scenario 2668.,Genetics,4.42,0.593,2.013,Medium
2670,Compare the probability distribution in Machine Learning with example scenario 2669.,Machine Learning,1.54,0.175,0.579,Hard
2671,Determine the key assumption in Algebra with example scenario 2670.,Algebra,7.15,0.918,1.773,Easy
2672,Explain the classification rule in Physics with example scenario 2671.,Physics,4.14,0.475,2.044,Medium
2673,Identify the logical equivalence in Logic with example scenario 2672.,Logic,2.01,0.237,1.413,Hard
2674,Compare the space complexity in Networks with example scenario 2673.,Networks,7.42,0.929,2.184,Easy
2675,Prove the probability distribution in Networks with example scenario 2674.,Networks,5.14,0.672,0.96,Medium
2676,Identify the classification rule in Microeconomics with example scenario 2675.,Microeconomics,2.03,0.218,0.955,Hard
2677,Derive the probability distribution in Genetics with example scenario 2676.,Genetics,7.89,0.855,1.207,Easy
2678,Illustrate the main application in Operating Systems with example scenario 2677.,Operating Systems,4.32,0.618,0.719,Medium
2679,Evaluate the regression model in Operating Systems with example scenario 2678.,Operating Systems,2.11,0.33,1.043,Hard
2680,Compute the probability distribution in Data Structures with example scenario 2679.,Data Structures,6.8,0.921,2.446,Easy
2681,Determine the regression model in Machine Learning with example scenario 2680.,Machine Learning,5.18,0.733,0.582,Medium
2682,Evaluate the standard method in Calculus with example scenario 2681.,Calculus,2.37,0.304,0.702,Hard
2683,Derive the main application in Operating Systems with example scenario 2682.,Operating Systems,5.46,0.892,2.24,Easy
2684,Evaluate the data normalization in Macroeconomics with example scenario 2683.,Macroeconomics,2.91,0.447,0.851,Medium
2685,Determine the main application in Genetics with example scenario 2684.,Genetics,3.32,0.378,2.103,Hard
2686,Evaluate the main application in Computer Science with example scenario 2685.,Computer Science,6.1,0.83,0.969,Easy
2687,Analyze the fundamental theorem in Logic with example scenario 2686.,Logic,4.62,0.563,1.764,Medium
2688,Illustrate the main application in Networks with example scenario 2687.,Networks,1.71,0.175,0.84,Hard
2689,Determine the standard method in Linear Algebra with example scenario 2688.,Linear Algebra,5.71,0.943,1.462,Easy
2690,Compute the time complexity in Computer Science with example scenario 2689.,Computer Science,4.0,0.513,1.641,Medium
2691,Prove the standard method in Calculus with example scenario 2690.,Calculus,1.73,0.226,1.965,Hard
2692,Prove the probability distribution in Biology with example scenario 2691.,Biology,8.28,0.887,1.0,Easy
2693,Evaluate the time complexity in Genetics with example scenario 2692.,Genetics,5.06,0.607,1.239,Medium
2694,Analyze the fundamental theorem in Operating Systems with example scenario 2693.,Operating Systems,1.75,0.241,0.784,Hard
2695,Derive the regression model in Databases with example scenario 2694.,Databases,5.09,0.793,1.866,Easy
2696,Derive the standard method in Biology with example scenario 2695.,Biology,6.13,0.625,1.959,Medium
2697,Explain the data normalization in Biology with example scenario 2696.,Biology,1.1,0.115,2.225,Hard
2698,Identify the standard method in Genetics with example scenario 2697.,Genetics,7.0,0.839,2.452,Easy
2699,Derive the primary formula in Operating Systems with example scenario 2698.,Operating Systems,5.59,0.581,0.666,Medium
2700,Evaluate the regression model in Microeconomics with example scenario 2699.,Microeconomics,1.2,0.155,1.67,Hard
2701,Derive the standard method in Microeconomics with example scenario 2700.,Microeconomics,9.09,0.913,1.278,Easy
2702,Derive the fundamental theorem in Chemistry with example scenario 2701.,Chemistry,3.83,0.416,1.709,Medium
2703,Identify the core principle in Biology with example scenario 2702.,Biology,1.26,0.158,1.985,Hard
2704,Explain the optimization technique in Operating Systems with example scenario 2703.,Operating Systems,7.23,0.904,1.11,Easy
2705,Compute the probability distribution in Macroeconomics with example scenario 2704.,Macroeconomics,6.33,0.731,1.316,Medium
2706,Analyze the standard method in Machine Learning with example scenario 2705.,Machine Learning,1.62,0.181,0.984,Hard
2707,Illustrate the logical equivalence in Calculus with example scenario 2706.,Calculus,6.37,0.784,1.08,Easy
2708,Illustrate the time complexity in Statistics with example scenario 2707.,Statistics,3.97,0.614,1.81,Medium
2709,Determine the key assumption in Logic with example scenario 2708.,Logic,1.09,0.182,0.754,Hard
2710,Analyze the time complexity in Algebra with example scenario 2709.,Algebra,8.87,0.937,0.967,Easy
2711,Analyze the time complexity in Linear Algebra with example scenario 2710.,Linear Algebra,5.61,0.665,2.442,Medium
2712,Compute the probability distribution in Databases with example scenario 2711.,Databases,1.81,0.208,0.627,Hard
2713,Illustrate the space complexity in Networks with example scenario 2712.,Networks,8.17,0.829,1.578,Easy
2714,Explain the logical equivalence in Electromagnetism with example scenario 2713.,Electromagnetism,3.23,0.498,1.907,Medium
2715,Compare the main application in Machine Learning with example scenario 2714.,Machine Learning,2.15,0.287,2.402,Hard
2716,Prove the optimization technique in Discrete Mathematics with example scenario 2715.,Discrete Mathematics,5.44,0.754,2.342,Easy
2717,Explain the primary formula in Machine Learning with example scenario 2716.,Machine Learning,3.57,0.509,1.568,Medium
2718,Prove the primary formula in Machine Learning with example scenario 2717.,Machine Learning,2.17,0.339,2.386,Hard
2719,Identify the core principle in Linear Algebra with example scenario 2718.,Linear Algebra,6.11,0.909,1.924,Easy
2720,Derive the data normalization in Statistics with example scenario 2719.,Statistics,4.04,0.531,2.067,Medium
2721,Derive the primary formula in Discrete Mathematics with example scenario 2720.,Discrete Mathematics,2.47,0.379,1.341,Hard
2722,Compare the data normalization in Computer Science with example scenario 2721.,Computer Science,6.35,0.846,1.226,Easy
2723,Evaluate the classification rule in Discrete Mathematics with example scenario 2722.,Discrete Mathematics,3.65,0.418,1.372,Medium
2724,Illustrate the core principle in Microeconomics with example scenario 2723.,Microeconomics,1.45,0.156,2.105,Hard
2725,Compute the primary formula in Biology with example scenario 2724.,Biology,6.09,0.847,1.776,Easy
2726,Identify the standard method in Thermodynamics with example scenario 2725.,Thermodynamics,3.46,0.498,1.961,Medium
2727,Illustrate the regression model in Physics with example scenario 2726.,Physics,0.71,0.112,0.514,Hard
2728,Analyze the fundamental theorem in Databases with example scenario 2727.,Databases,4.9,0.781,2.492,Easy
2729,Determine the optimization technique in Discrete Mathematics with example scenario 2728.,Discrete Mathematics,3.29,0.498,0.982,Medium
2730,Identify the probability distribution in Computer Science with example scenario 2729.,Computer Science,3.0,0.371,1.23,Hard
2731,Evaluate the key assumption in Microeconomics with example scenario 2730.,Microeconomics,7.01,0.925,1.17,Easy
2732,Compare the primary formula in Computer Science with example scenario 2731.,Computer Science,3.53,0.47,1.133,Medium
2733,Derive the fundamental theorem in Genetics with example scenario 2732.,Genetics,2.12,0.296,1.654,Hard
2734,Illustrate the primary formula in Operating Systems with example scenario 2733.,Operating Systems,5.16,0.763,1.315,Easy
2735,Identify the data normalization in Thermodynamics with example scenario 2734.,Thermodynamics,5.4,0.719,1.828,Medium
2736,Compute the fundamental theorem in Linear Algebra with example scenario 2735.,Linear Algebra,1.13,0.174,0.617,Hard
2737,Evaluate the primary formula in Algebra with example scenario 2736.,Algebra,5.38,0.811,0.848,Easy
2738,Derive the core principle in Operating Systems with example scenario 2737.,Operating Systems,4.0,0.659,1.616,Medium
2739,Compare the main application in Operating Systems with example scenario 2738.,Operating Systems,1.69,0.21,1.626,Hard
2740,Compute the fundamental theorem in Thermodynamics with example scenario 2739.,Thermodynamics,5.84,0.813,1.967,Easy
2741,Determine the probability distribution in Chemistry with example scenario 2740.,Chemistry,4.71,0.696,0.695,Medium
2742,Illustrate the data normalization in Physics with example scenario 2741.,Physics,2.66,0.36,1.603,Hard
2743,Illustrate the probability distribution in Machine Learning with example scenario 2742.,Machine Learning,5.35,0.822,1.679,Easy
2744,Compare the classification rule in Microeconomics with example scenario 2743.,Microeconomics,3.94,0.579,1.404,Medium
2745,Derive the data normalization in Data Structures with example scenario 2744.,Data Structures,2.77,0.331,0.694,Hard
2746,Prove the time complexity in Chemistry with example scenario 2745.,Chemistry,7.58,0.86,2.085,Easy
2747,Explain the classification rule in Microeconomics with example scenario 2746.,Microeconomics,4.06,0.614,1.92,Medium
2748,Evaluate the space complexity in Data Structures with example scenario 2747.,Data Structures,1.8,0.296,1.323,Hard
2749,Evaluate the standard method in Calculus with example scenario 2748.,Calculus,7.09,0.817,0.932,Easy
2750,Evaluate the standard method in Linear Algebra with example scenario 2749.,Linear Algebra,5.8,0.601,2.096,Medium
2751,Explain the primary formula in Computer Science with example scenario 2750.,Computer Science,3.64,0.367,0.521,Hard
2752,Compare the logical equivalence in Machine Learning with example scenario 2751.,Machine Learning,6.69,0.875,2.22,Easy
2753,Explain the primary formula in Machine Learning with example scenario 2752.,Machine Learning,4.82,0.486,1.727,Medium
2754,Identify the logical equivalence in Operating Systems with example scenario 2753.,Operating Systems,2.09,0.33,0.867,Hard
2755,Identify the key assumption in Physics with example scenario 2754.,Physics,5.49,0.902,2.134,Easy
2756,Analyze the space complexity in Computer Science with example scenario 2755.,Computer Science,3.49,0.405,1.23,Medium
2757,Identify the standard method in Computer Science with example scenario 2756.,Computer Science,2.43,0.277,1.185,Hard
2758,Determine the primary formula in Networks with example scenario 2757.,Networks,4.85,0.772,1.678,Easy
2759,Analyze the time complexity in Machine Learning with example scenario 2758.,Machine Learning,5.17,0.577,1.519,Medium
2760,Prove the classification rule in Microeconomics with example scenario 2759.,Microeconomics,1.69,0.223,0.553,Hard
2761,Explain the main application in Biology with example scenario 2760.,Biology,8.09,0.817,2.247,Easy
2762,Determine the standard method in Electromagnetism with example scenario 2761.,Electromagnetism,4.28,0.512,2.195,Medium
2763,Compare the standard method in Thermodynamics with example scenario 2762.,Thermodynamics,1.38,0.228,0.649,Hard
2764,Analyze the key assumption in Computer Science with example scenario 2763.,Computer Science,8.42,0.852,1.886,Easy
2765,Identify the key assumption in Biology with example scenario 2764.,Biology,2.87,0.424,2.043,Medium
2766,Identify the space complexity in Statistics with example scenario 2765.,Statistics,2.91,0.344,1.789,Hard
2767,Identify the data normalization in Electromagnetism with example scenario 2766.,Electromagnetism,7.04,0.756,2.077,Easy
2768,Analyze the optimization technique in Genetics with example scenario 2767.,Genetics,4.31,0.488,0.93,Medium
2769,Analyze the core principle in Linear Algebra with example scenario 2768.,Linear Algebra,0.76,0.112,0.857,Hard
2770,Explain the probability distribution in Biology with example scenario 2769.,Biology,6.28,0.818,1.517,Easy
2771,Determine the data normalization in Machine Learning with example scenario 2770.,Machine Learning,3.98,0.562,0.558,Medium
2772,Evaluate the classification rule in Machine Learning with example scenario 2771.,Machine Learning,2.09,0.275,1.097,Hard
2773,Illustrate the time complexity in Linear Algebra with example scenario 2772.,Linear Algebra,8.29,0.923,2.216,Easy
2774,Evaluate the data normalization in Networks with example scenario 2773.,Networks,3.71,0.568,1.892,Medium
2775,Explain the data normalization in Operating Systems with example scenario 2774.,Operating Systems,1.24,0.16,0.63,Hard
2776,Compute the main application in Chemistry with example scenario 2775.,Chemistry,5.95,0.915,2.306,Easy
2777,Compute the primary formula in Biology with example scenario 2776.,Biology,5.45,0.694,1.989,Medium
2778,Compute the main application in Biology with example scenario 2777.,Biology,2.58,0.28,1.364,Hard
2779,Compare the data normalization in Physics with example scenario 2778.,Physics,7.12,0.907,2.382,Easy
2780,Analyze the fundamental theorem in Chemistry with example scenario 2779.,Chemistry,4.44,0.565,2.07,Medium
2781,Compare the fundamental theorem in Thermodynamics with example scenario 2780.,Thermodynamics,2.78,0.338,0.86,Hard
2782,Analyze the fundamental theorem in Statistics with example scenario 2781.,Statistics,8.33,0.844,2.006,Easy
2783,Illustrate the fundamental theorem in Electromagnetism with example scenario 2782.,Electromagnetism,4.14,0.676,1.436,Medium
2784,Analyze the primary formula in Thermodynamics with example scenario 2783.,Thermodynamics,2.68,0.288,0.599,Hard
2785,Analyze the primary formula in Calculus with example scenario 2784.,Calculus,7.54,0.92,0.895,Easy
2786,Analyze the regression model in Algebra with example scenario 2785.,Algebra,3.62,0.508,1.562,Medium
2787,Illustrate the key assumption in Chemistry with example scenario 2786.,Chemistry,0.76,0.115,2.125,Hard
2788,Compute the main application in Microeconomics with example scenario 2787.,Microeconomics,5.39,0.777,1.407,Easy
2789,Explain the core principle in Machine Learning with example scenario 2788.,Machine Learning,5.22,0.576,1.395,Medium
2790,Determine the space complexity in Biology with example scenario 2789.,Biology,2.79,0.329,0.726,Hard
2791,Prove the main application in Machine Learning with example scenario 2790.,Machine Learning,6.05,0.781,1.294,Easy
2792,Illustrate the key assumption in Electromagnetism with example scenario 2791.,Electromagnetism,5.43,0.653,1.276,Medium
2793,Illustrate the core principle in Electromagnetism with example scenario 2792.,Electromagnetism,1.04,0.15,1.651,Hard
2794,Illustrate the regression model in Chemistry with example scenario 2793.,Chemistry,6.73,0.835,0.841,Easy
2795,Identify the key assumption in Algebra with example scenario 2794.,Algebra,5.88,0.625,1.016,Medium
2796,Determine the main application in Statistics with example scenario 2795.,Statistics,2.41,0.243,1.166,Hard
2797,Explain the data normalization in Genetics with example scenario 2796.,Genetics,5.53,0.869,1.712,Easy
2798,Compute the time complexity in Chemistry with example scenario 2797.,Chemistry,4.23,0.43,1.931,Medium
2799,Prove the data normalization in Thermodynamics with example scenario 2798.,Thermodynamics,2.9,0.329,1.679,Hard
2800,Evaluate the probability distribution in Microeconomics with example scenario 2799.,Microeconomics,7.92,0.84,2.414,Easy
2801,Evaluate the classification rule in Chemistry with example scenario 2800.,Chemistry,5.54,0.57,1.667,Medium
2802,Compare the optimization technique in Machine Learning with example scenario 2801.,Machine Learning,2.0,0.256,0.919,Hard
2803,Identify the key assumption in Statistics with example scenario 2802.,Statistics,5.23,0.751,1.519,Easy
2804,Analyze the regression model in Discrete Mathematics with example scenario 2803.,Discrete Mathematics,4.12,0.529,2.461,Medium
2805,Analyze the probability distribution in Networks with example scenario 2804.,Networks,1.58,0.202,0.767,Hard
2806,Identify the main application in Chemistry with example scenario 2805.,Chemistry,6.92,0.76,1.641,Easy
2807,Prove the data normalization in Thermodynamics with example scenario 2806.,Thermodynamics,4.35,0.659,1.644,Medium
2808,Identify the data normalization in Operating Systems with example scenario 2807.,Operating Systems,1.2,0.174,0.523,Hard
2809,Analyze the standard method in Calculus with example scenario 2808.,Calculus,5.62,0.776,0.734,Easy
2810,Analyze the optimization technique in Thermodynamics with example scenario 2809.,Thermodynamics,5.32,0.735,0.761,Medium
2811,Derive the space complexity in Operating Systems with example scenario 2810.,Operating Systems,1.32,0.158,0.628,Hard
2812,Derive the key assumption in Operating Systems with example scenario 2811.,Operating Systems,9.08,0.922,0.993,Easy
2813,Compare the primary formula in Genetics with example scenario 2812.,Genetics,3.37,0.553,1.781,Medium
2814,Compute the classification rule in Discrete Mathematics with example scenario 2813.,Discrete Mathematics,1.56,0.22,0.914,Hard
2815,Derive the logical equivalence in Physics with example scenario 2814.,Physics,6.75,0.881,0.859,Easy
2816,Evaluate the fundamental theorem in Machine Learning with example scenario 2815.,Machine Learning,5.24,0.634,2.217,Medium
2817,Analyze the optimization technique in Thermodynamics with example scenario 2816.,Thermodynamics,1.23,0.134,1.847,Hard
2818,Identify the logical equivalence in Linear Algebra with example scenario 2817.,Linear Algebra,6.79,0.773,1.383,Easy
2819,Analyze the main application in Physics with example scenario 2818.,Physics,4.73,0.721,1.786,Medium
2820,Compare the data normalization in Databases with example scenario 2819.,Databases,2.07,0.211,1.16,Hard
2821,Analyze the data normalization in Microeconomics with example scenario 2820.,Microeconomics,9.05,0.942,1.041,Easy
2822,Analyze the standard method in Computer Science with example scenario 2821.,Computer Science,6.72,0.673,1.005,Medium
2823,Prove the key assumption in Statistics with example scenario 2822.,Statistics,1.83,0.227,1.09,Hard
2824,Compare the core principle in Macroeconomics with example scenario 2823.,Macroeconomics,5.18,0.753,1.064,Easy
2825,Compare the data normalization in Logic with example scenario 2824.,Logic,3.68,0.551,2.247,Medium
2826,Determine the regression model in Thermodynamics with example scenario 2825.,Thermodynamics,1.93,0.304,1.8,Hard
2827,Illustrate the primary formula in Microeconomics with example scenario 2826.,Microeconomics,8.66,0.881,0.506,Easy
2828,Prove the probability distribution in Databases with example scenario 2827.,Databases,4.7,0.484,2.364,Medium
2829,Compare the probability distribution in Macroeconomics with example scenario 2828.,Macroeconomics,2.8,0.309,0.683,Hard
2830,Determine the main application in Electromagnetism with example scenario 2829.,Electromagnetism,5.91,0.853,0.862,Easy
2831,Analyze the core principle in Linear Algebra with example scenario 2830.,Linear Algebra,4.42,0.676,1.437,Medium
2832,Derive the probability distribution in Data Structures with example scenario 2831.,Data Structures,2.51,0.372,2.456,Hard
2833,Evaluate the fundamental theorem in Logic with example scenario 2832.,Logic,7.8,0.949,0.84,Easy
2834,Explain the classification rule in Chemistry with example scenario 2833.,Chemistry,3.9,0.507,1.119,Medium
2835,Derive the logical equivalence in Physics with example scenario 2834.,Physics,1.79,0.181,0.807,Hard
2836,Evaluate the optimization technique in Algebra with example scenario 2835.,Algebra,5.38,0.897,1.692,Easy
2837,Prove the main application in Macroeconomics with example scenario 2836.,Macroeconomics,5.08,0.711,0.871,Medium
2838,Illustrate the space complexity in Operating Systems with example scenario 2837.,Operating Systems,2.56,0.289,1.876,Hard
2839,Analyze the logical equivalence in Chemistry with example scenario 2838.,Chemistry,5.71,0.814,2.412,Easy
2840,Derive the regression model in Electromagnetism with example scenario 2839.,Electromagnetism,5.59,0.714,2.192,Medium
2841,Compute the primary formula in Linear Algebra with example scenario 2840.,Linear Algebra,1.78,0.231,0.814,Hard
2842,Derive the time complexity in Thermodynamics with example scenario 2841.,Thermodynamics,6.8,0.835,0.545,Easy
2843,Identify the standard method in Data Structures with example scenario 2842.,Data Structures,5.03,0.551,1.86,Medium
2844,Identify the fundamental theorem in Genetics with example scenario 2843.,Genetics,2.74,0.284,0.536,Hard
2845,Compare the core principle in Calculus with example scenario 2844.,Calculus,7.88,0.861,1.583,Easy
2846,Derive the standard method in Databases with example scenario 2845.,Databases,3.34,0.51,2.275,Medium
2847,Derive the probability distribution in Databases with example scenario 2846.,Databases,2.25,0.237,1.672,Hard
2848,Explain the main application in Calculus with example scenario 2847.,Calculus,8.16,0.885,1.818,Easy
2849,Determine the data normalization in Genetics with example scenario 2848.,Genetics,4.31,0.535,2.106,Medium
2850,Derive the optimization technique in Computer Science with example scenario 2849.,Computer Science,1.57,0.208,0.691,Hard
2851,Determine the data normalization in Biology with example scenario 2850.,Biology,5.94,0.933,1.796,Easy
2852,Derive the regression model in Databases with example scenario 2851.,Databases,4.12,0.54,1.859,Medium
2853,Illustrate the logical equivalence in Chemistry with example scenario 2852.,Chemistry,1.0,0.119,2.044,Hard
2854,Identify the logical equivalence in Thermodynamics with example scenario 2853.,Thermodynamics,6.12,0.916,2.295,Easy
2855,Illustrate the probability distribution in Genetics with example scenario 2854.,Genetics,5.94,0.623,1.471,Medium
2856,Identify the classification rule in Thermodynamics with example scenario 2855.,Thermodynamics,2.49,0.257,2.3,Hard
2857,Identify the fundamental theorem in Computer Science with example scenario 2856.,Computer Science,5.96,0.84,1.286,Easy
2858,Determine the probability distribution in Databases with example scenario 2857.,Databases,3.8,0.532,1.037,Medium
2859,Compare the space complexity in Microeconomics with example scenario 2858.,Microeconomics,2.2,0.35,1.855,Hard
2860,Determine the standard method in Machine Learning with example scenario 2859.,Machine Learning,5.79,0.785,0.623,Easy
2861,Explain the space complexity in Calculus with example scenario 2860.,Calculus,4.46,0.492,2.27,Medium
2862,Evaluate the classification rule in Calculus with example scenario 2861.,Calculus,1.29,0.164,1.441,Hard
2863,Prove the regression model in Machine Learning with example scenario 2862.,Machine Learning,8.37,0.925,1.526,Easy
2864,Explain the regression model in Microeconomics with example scenario 2863.,Microeconomics,5.9,0.628,0.519,Medium
2865,Compare the core principle in Networks with example scenario 2864.,Networks,2.09,0.217,1.981,Hard
2866,Prove the standard method in Discrete Mathematics with example scenario 2865.,Discrete Mathematics,6.97,0.859,1.196,Easy
2867,Prove the fundamental theorem in Discrete Mathematics with example scenario 2866.,Discrete Mathematics,4.97,0.577,1.337,Medium
2868,Compute the key assumption in Logic with example scenario 2867.,Logic,2.9,0.307,0.809,Hard
2869,Illustrate the core principle in Operating Systems with example scenario 2868.,Operating Systems,6.41,0.84,1.875,Easy
2870,Determine the core principle in Physics with example scenario 2869.,Physics,4.15,0.485,2.255,Medium
2871,Evaluate the fundamental theorem in Networks with example scenario 2870.,Networks,2.13,0.221,2.486,Hard
2872,Prove the fundamental theorem in Genetics with example scenario 2871.,Genetics,5.34,0.771,2.401,Easy
2873,Compare the space complexity in Linear Algebra with example scenario 2872.,Linear Algebra,4.64,0.726,0.53,Medium
2874,Compare the primary formula in Electromagnetism with example scenario 2873.,Electromagnetism,1.47,0.147,0.86,Hard
2875,Derive the space complexity in Algebra with example scenario 2874.,Algebra,7.99,0.851,0.541,Easy
2876,Prove the optimization technique in Algebra with example scenario 2875.,Algebra,4.31,0.606,2.225,Medium
2877,Compare the standard method in Microeconomics with example scenario 2876.,Microeconomics,1.59,0.182,1.848,Hard
2878,Analyze the regression model in Microeconomics with example scenario 2877.,Microeconomics,4.87,0.794,1.318,Easy
2879,Analyze the data normalization in Thermodynamics with example scenario 2878.,Thermodynamics,4.6,0.498,2.101,Medium
2880,Prove the probability distribution in Statistics with example scenario 2879.,Statistics,1.96,0.233,1.709,Hard
2881,Prove the main application in Electromagnetism with example scenario 2880.,Electromagnetism,7.05,0.915,1.051,Easy
2882,Determine the standard method in Macroeconomics with example scenario 2881.,Macroeconomics,3.99,0.49,1.398,Medium
2883,Compute the probability distribution in Discrete Mathematics with example scenario 2882.,Discrete Mathematics,1.45,0.228,1.937,Hard
2884,Identify the key assumption in Physics with example scenario 2883.,Physics,5.38,0.793,1.326,Easy
2885,Determine the fundamental theorem in Operating Systems with example scenario 2884.,Operating Systems,3.98,0.477,1.243,Medium
2886,Illustrate the optimization technique in Operating Systems with example scenario 2885.,Operating Systems,1.87,0.23,0.907,Hard
2887,Illustrate the data normalization in Logic with example scenario 2886.,Logic,7.44,0.781,1.367,Easy
2888,Illustrate the core principle in Physics with example scenario 2887.,Physics,3.32,0.54,1.496,Medium
2889,Prove the primary formula in Microeconomics with example scenario 2888.,Microeconomics,2.15,0.261,1.914,Hard
2890,Illustrate the regression model in Physics with example scenario 2889.,Physics,5.5,0.785,2.121,Easy
2891,Derive the optimization technique in Electromagnetism with example scenario 2890.,Electromagnetism,4.72,0.722,1.495,Medium
2892,Prove the regression model in Statistics with example scenario 2891.,Statistics,1.01,0.162,1.151,Hard
2893,Determine the time complexity in Physics with example scenario 2892.,Physics,6.89,0.779,1.567,Easy
2894,Compare the logical equivalence in Operating Systems with example scenario 2893.,Operating Systems,2.71,0.449,2.116,Medium
2895,Prove the key assumption in Genetics with example scenario 2894.,Genetics,1.27,0.151,1.174,Hard
2896,Compare the primary formula in Discrete Mathematics with example scenario 2895.,Discrete Mathematics,6.3,0.867,0.674,Easy
